ward,source,date_diff,case_status,
15,Employee Generated,1000.0,Closed,
10,City Worker App,24775000.0,Closed,
4,Self Service,5532573000.0,Closed,
9,Constituent Call,886000.0,Closed,
11,Employee Generated,1000.0,Closed,
4,Citizens Connect App,322581000.0,Closed,
4,City Worker App,3000.0,Closed,
20,Employee Generated,1000.0,Closed,
10,Constituent Call,73420000.0,Closed,
21,Citizens Connect App,226996000.0,Closed,
20,Employee Generated,3000.0,Closed,
18,City Worker App,5593000.0,Closed,
18,Employee Generated,1000.0,Closed,
18,City Worker App,2000.0,Closed,
22,City Worker App,2000.0,Closed,
18,City Worker App,10922000.0,Closed,
14,City Worker App,13140000.0,Closed,
4,Citizens Connect App,295690000.0,Closed,
19,Employee Generated,2000.0,Closed,
17,Employee Generated,1000.0,Closed,
21,City Worker App,1000.0,Closed,
21,Citizens Connect App,234605000.0,Closed,
3,Constituent Call,48399000.0,Closed,
19,Employee Generated,1000.0,Closed,
18,Employee Generated,1000.0,Closed,
16,City Worker App,15635000.0,Closed,
22,City Worker App,1000.0,Closed,
4,Citizens Connect App,7928450000.0,Closed,
20,Employee Generated,2000.0,Closed,
4,Citizens Connect App,70774000.0,Closed,
10,Employee Generated,1000.0,Closed,
22,City Worker App,12199000.0,Closed,
12,Employee Generated,1000.0,Closed,
20,City Worker App,473000.0,Closed,
6,Employee Generated,1000.0,Closed,
3,City Worker App,1000.0,Closed,
19,City Worker App,33517000.0,Closed,
21,City Worker App,8000.0,Closed,
11,City Worker App,75483000.0,Closed,
17,City Worker App,18306000.0,Closed,
11,City Worker App,162215000.0,Closed,
16,City Worker App,337475000.0,Closed,
8,Employee Generated,1000.0,Closed,
21,City Worker App,8000.0,Closed,
20,Employee Generated,1000.0,Closed,
2,City Worker App,98257000.0,Closed,
5,City Worker App,3000.0,Closed,
4,City Worker App,84588000.0,Closed,
20,Employee Generated,1000.0,Closed,
1,Employee Generated,1000.0,Closed,
18,City Worker App,9608000.0,Closed,
19,City Worker App,16693000.0,Closed,
11,Employee Generated,1000.0,Closed,
11,Employee Generated,1000.0,Closed,
17,Self Service,146096000.0,Closed,
11,Employee Generated,1000.0,Closed,
19,City Worker App,10353000.0,Closed,
16,Employee Generated,1000.0,Closed,
3,Citizens Connect App,27102000.0,Closed,
20,Employee Generated,1000.0,Closed,
3,Citizens Connect App,60014000.0,Closed,
20,Employee Generated,1000.0,Closed,
7,Employee Generated,1000.0,Closed,
18,City Worker App,93707000.0,Closed,
16,Employee Generated,1000.0,Closed,
10,Constituent Call,8412000.0,Closed,
8,Citizens Connect App,218097000.0,Closed,
8,Constituent Call,64666000.0,Closed,
11,Employee Generated,1000.0,Closed,
12,City Worker App,63137000.0,Closed,
13,Constituent Call,16519000.0,Closed,
3,Constituent Call,103974000.0,Closed,
16,City Worker App,1000.0,Closed,
18,Employee Generated,1000.0,Closed,
20,Employee Generated,1000.0,Closed,
21,City Worker App,4000.0,Closed,
22,City Worker App,6000.0,Closed,
2,City Worker App,162000.0,Closed,
8,City Worker App,14839000.0,Closed,
14,Self Service,21533000.0,Closed,
3,Citizens Connect App,140517000.0,Closed,
12,Employee Generated,1000.0,Closed,
19,City Worker App,5000.0,Closed,
15,City Worker App,66639000.0,Closed,
17,City Worker App,78870000.0,Closed,
1,Employee Generated,1000.0,Closed,
15,City Worker App,88261000.0,Closed,
21,Employee Generated,1000.0,Closed,
20,Employee Generated,1000.0,Closed,
20,Citizens Connect App,3429000.0,Closed,
15,City Worker App,69439000.0,Closed,
3,City Worker App,2000.0,Closed,
21,Citizens Connect App,3506254000.0,Closed,
3,City Worker App,98863000.0,Closed,
10,Citizens Connect App,6392000.0,Closed,
19,Employee Generated,2000.0,Closed,
10,Employee Generated,1000.0,Closed,
20,Employee Generated,1000.0,Closed,
12,Employee Generated,1000.0,Closed,
4,Employee Generated,1000.0,Closed,
19,Employee Generated,2000.0,Closed,
6,City Worker App,87269000.0,Closed,
5,City Worker App,8000.0,Closed,
15,Employee Generated,1000.0,Closed,
13,Citizens Connect App,23614000.0,Closed,
22,Constituent Call,173386000.0,Closed,
12,Employee Generated,1000.0,Closed,
22,Employee Generated,1000.0,Closed,
20,City Worker App,16329000.0,Closed,
3,City Worker App,10422000.0,Closed,
9,City Worker App,3098000.0,Closed,
9,City Worker App,14125000.0,Closed,
11,Employee Generated,1000.0,Closed,
22,Citizens Connect App,765760000.0,Closed,
16,City Worker App,13718000.0,Closed,
20,Employee Generated,2000.0,Closed,
5,Citizens Connect App,42927000.0,Closed,
20,City Worker App,2255000.0,Closed,
8,Employee Generated,1000.0,Closed,
4,City Worker App,348420000.0,Closed,
11,Employee Generated,1000.0,Closed,
19,Employee Generated,1000.0,Closed,
20,City Worker App,102317000.0,Closed,
3,Citizens Connect App,457039000.0,Closed,
20,Employee Generated,12000.0,Closed,
10,Employee Generated,2000.0,Closed,
14,Citizens Connect App,254832000.0,Closed,
16,Employee Generated,1000.0,Closed,
20,Employee Generated,1000.0,Closed,
20,Employee Generated,1000.0,Closed,
20,Employee Generated,1000.0,Closed,
1,Employee Generated,1000.0,Closed,
11,Employee Generated,1000.0,Closed,
19,Employee Generated,1000.0,Closed,
4,Citizens Connect App,90912000.0,Closed,
20,Employee Generated,1000.0,Closed,
11,Employee Generated,1000.0,Closed,
14,Employee Generated,1000.0,Closed,
11,Employee Generated,1000.0,Closed,
11,Employee Generated,1000.0,Closed,
16,City Worker App,18231000.0,Closed,
9,Citizens Connect App,87126000.0,Closed,
5,Self Service,55630000.0,Closed,
11,Self Service,56420000.0,Closed,
7,Employee Generated,1000.0,Closed,
7,City Worker App,24897000.0,Closed,
3,Employee Generated,1000.0,Closed,
11,Employee Generated,1000.0,Closed,
14,Citizens Connect App,31468000.0,Closed,
19,Employee Generated,1000.0,Closed,
16,Employee Generated,1000.0,Closed,
18,City Worker App,74924000.0,Closed,
20,City Worker App,4000.0,Closed,
18,City Worker App,360602000.0,Closed,
3,City Worker App,73245000.0,Closed,
18,City Worker App,9940000.0,Closed,
20,Constituent Call,67506000.0,Closed,
18,Employee Generated,2000.0,Closed,
3,Citizens Connect App,513977000.0,Closed,
4,City Worker App,2000.0,Closed,
5,Employee Generated,2000.0,Closed,
3,Self Service,558820000.0,Closed,
7,City Worker App,684000.0,Closed,
3,Citizens Connect App,218503000.0,Closed,
5,Citizens Connect App,251674000.0,Closed,
8,Constituent Call,74579000.0,Closed,
12,Citizens Connect App,7962000.0,Closed,
3,Constituent Call,83094318000.0,Closed,
22,City Worker App,3000.0,Closed,
12,City Worker App,4000.0,Closed,
1,Constituent Call,99427000.0,Closed,
5,City Worker App,1236039000.0,Closed,
3,Constituent Call,283022000.0,Closed,
19,Employee Generated,1000.0,Closed,
18,Employee Generated,1000.0,Closed,
3,Employee Generated,2000.0,Closed,
6,City Worker App,323071000.0,Closed,
5,City Worker App,601243000.0,Closed,
6,City Worker App,77029000.0,Closed,
12,City Worker App,20000.0,Closed,
2,City Worker App,218418000.0,Closed,
19,Employee Generated,6000.0,Closed,
18,City Worker App,40000.0,Closed,
20,Employee Generated,1000.0,Closed,
20,Employee Generated,1000.0,Closed,
20,Employee Generated,1000.0,Closed,
12,Citizens Connect App,360541000.0,Closed,
1,Employee Generated,1000.0,Closed,
16,City Worker App,495000.0,Closed,
19,City Worker App,50000.0,Closed,
21,Employee Generated,2000.0,Closed,
18,City Worker App,429000.0,Closed,
18,Employee Generated,1000.0,Closed,
3,Citizens Connect App,98294000.0,Closed,
20,City Worker App,4979000.0,Closed,
21,City Worker App,3000.0,Closed,
12,Employee Generated,1000.0,Closed,
18,City Worker App,80000.0,Closed,
2,City Worker App,14965000.0,Closed,
20,Employee Generated,1000.0,Closed,
10,Citizens Connect App,318000.0,Closed,
19,Employee Generated,3000.0,Closed,
14,Employee Generated,1000.0,Closed,
20,Employee Generated,1000.0,Closed,
6,Constituent Call,4442167000.0,Closed,
18,City Worker App,21035000.0,Closed,
10,Employee Generated,1000.0,Closed,
1,Employee Generated,1000.0,Closed,
14,Employee Generated,1000.0,Closed,
3,Citizens Connect App,6301844000.0,Closed,
2,Citizens Connect App,231834000.0,Closed,
16,City Worker App,4604000.0,Closed,
18,City Worker App,6000.0,Closed,
3,Employee Generated,1000.0,Closed,
17,City Worker App,88825000.0,Closed,
14,City Worker App,15539000.0,Closed,
19,Citizens Connect App,83387000.0,Closed,
3,Citizens Connect App,179720000.0,Closed,
1,Employee Generated,1000.0,Closed,
3,Citizens Connect App,1385546000.0,Closed,
4,City Worker App,3658000.0,Closed,
20,City Worker App,9833000.0,Closed,
22,City Worker App,2000.0,Closed,
12,City Worker App,1000.0,Closed,
18,Employee Generated,1000.0,Closed,
9,Citizens Connect App,167817000.0,Closed,
15,Employee Generated,1000.0,Closed,
20,Employee Generated,1000.0,Closed,
2,City Worker App,3437000.0,Closed,
14,Employee Generated,1000.0,Closed,
3,Self Service,185543000.0,Closed,
9,Employee Generated,1000.0,Closed,
8,City Worker App,256061000.0,Closed,
1,Self Service,58939000.0,Closed,
22,Constituent Call,51899000.0,Closed,
18,City Worker App,21555000.0,Closed,
3,Citizens Connect App,174426000.0,Closed,
9,Employee Generated,1000.0,Closed,
14,City Worker App,1674000.0,Closed,
19,City Worker App,10281000.0,Closed,
20,Employee Generated,1000.0,Closed,
18,Employee Generated,1000.0,Closed,
20,City Worker App,4494000.0,Closed,
12,Constituent Call,23433000.0,Closed,
9,Employee Generated,1000.0,Closed,
2,City Worker App,478375000.0,Closed,
11,Constituent Call,5176712000.0,Closed,
22,City Worker App,2000.0,Closed,
5,City Worker App,164369000.0,Closed,
20,Employee Generated,1000.0,Closed,
5,Citizens Connect App,51258000.0,Closed,
20,City Worker App,12449000.0,Closed,
8,City Worker App,73994000.0,Closed,
11,Employee Generated,1000.0,Closed,
18,Employee Generated,1000.0,Closed,
8,Employee Generated,1000.0,Closed,
18,City Worker App,1188000.0,Closed,
11,Citizens Connect App,7094000.0,Closed,
20,Employee Generated,1000.0,Closed,
10,Self Service,591656000.0,Closed,
19,Employee Generated,85473000.0,Closed,
9,City Worker App,80628000.0,Closed,
2,Citizens Connect App,1329000.0,Closed,
20,Constituent Call,786000.0,Closed,
19,Employee Generated,1000.0,Closed,
13,Citizens Connect App,8625000.0,Closed,
3,Self Service,37646000.0,Closed,
12,Employee Generated,1000.0,Closed,
22,Self Service,280856000.0,Closed,
9,Employee Generated,1000.0,Closed,
8,Employee Generated,1000.0,Closed,
22,City Worker App,1000.0,Closed,
18,City Worker App,1000.0,Closed,
7,Constituent Call,154293000.0,Closed,
5,Constituent Call,7925000.0,Closed,
8,Citizens Connect App,7377000.0,Closed,
1,Self Service,1636367000.0,Closed,
17,Constituent Call,2100254000.0,Closed,
20,Employee Generated,2000.0,Closed,
1,Employee Generated,1000.0,Closed,
17,Employee Generated,1000.0,Closed,
17,City Worker App,43866000.0,Closed,
2,Employee Generated,171659000.0,Closed,
9,Citizens Connect App,1235000.0,Closed,
6,Constituent Call,256595000.0,Closed,
14,Employee Generated,1000.0,Closed,
18,City Worker App,88741000.0,Closed,
4,Citizens Connect App,70238000.0,Closed,
21,Citizens Connect App,79666000.0,Closed,
18,Employee Generated,1000.0,Closed,
8,Self Service,18075000.0,Closed,
1,Constituent Call,7895000.0,Closed,
3,City Worker App,5000.0,Closed,
4,Self Service,70200000.0,Closed,
11,Employee Generated,1000.0,Closed,
5,Citizens Connect App,845784000.0,Closed,
3,Constituent Call,81614000.0,Closed,
19,Employee Generated,1000.0,Closed,
14,City Worker App,79058000.0,Closed,
6,City Worker App,124463000.0,Closed,
3,City Worker App,43000.0,Closed,
20,City Worker App,13112000.0,Closed,
18,City Worker App,5000.0,Closed,
16,Employee Generated,1000.0,Closed,
1,Employee Generated,1000.0,Closed,
9,Citizens Connect App,76513000.0,Closed,
19,City Worker App,5939000.0,Closed,
3,Citizens Connect App,414666000.0,Closed,
4,Constituent Call,71320000.0,Closed,
21,City Worker App,110000.0,Closed,
1,Employee Generated,2000.0,Closed,
19,Employee Generated,1000.0,Closed,
18,Citizens Connect App,19336000.0,Closed,
12,Employee Generated,2000.0,Closed,
22,City Worker App,6000.0,Closed,
5,Citizens Connect App,20028430000.0,Closed,
4,City Worker App,3000.0,Closed,
17,City Worker App,109186000.0,Closed,
19,Employee Generated,1000.0,Closed,
20,Employee Generated,1000.0,Closed,
16,City Worker App,2000.0,Closed,
20,Employee Generated,1000.0,Closed,
11,Employee Generated,1000.0,Closed,
2,Constituent Call,103347000.0,Closed,
8,City Worker App,252446000.0,Closed,
2,Citizens Connect App,8485000.0,Closed,
17,Employee Generated,1000.0,Closed,
6,City Worker App,101511000.0,Closed,
17,City Worker App,2000.0,Closed,
18,Employee Generated,1000.0,Closed,
20,City Worker App,2000.0,Closed,
9,Employee Generated,2000.0,Closed,
4,Citizens Connect App,1169000.0,Closed,
18,Citizens Connect App,102265000.0,Closed,
2,Employee Generated,6649975000.0,Closed,
18,City Worker App,2000.0,Closed,
20,Employee Generated,1000.0,Closed,
3,Constituent Call,19610706000.0,Closed,
19,Citizens Connect App,89860000.0,Closed,
20,Employee Generated,1000.0,Closed,
12,Constituent Call,266813000.0,Closed,
8,Constituent Call,89812000.0,Closed,
5,City Worker App,20834000.0,Closed,
3,City Worker App,61627000.0,Closed,
3,City Worker App,73053000.0,Closed,
3,City Worker App,2000.0,Closed,
1,Employee Generated,1000.0,Closed,
20,Employee Generated,1000.0,Closed,
22,City Worker App,79634000.0,Closed,
8,City Worker App,110544000.0,Closed,
20,Employee Generated,1000.0,Closed,
3,Citizens Connect App,108451000.0,Closed,
11,City Worker App,6077000.0,Closed,
13,Constituent Call,563992000.0,Closed,
20,City Worker App,8154000.0,Closed,
14,Constituent Call,3377000.0,Closed,
15,Employee Generated,1000.0,Closed,
19,Employee Generated,1000.0,Closed,
18,Citizens Connect App,75732000.0,Closed,
20,Employee Generated,1000.0,Closed,
8,Employee Generated,1000.0,Closed,
7,Constituent Call,19281051000.0,Closed,
12,City Worker App,8000.0,Closed,
21,Constituent Call,261491000.0,Closed,
6,Employee Generated,1000.0,Closed,
19,Employee Generated,1000.0,Closed,
17,Employee Generated,1000.0,Closed,
14,Employee Generated,1000.0,Closed,
21,City Worker App,146000.0,Closed,
20,Citizens Connect App,21557000.0,Closed,
1,Employee Generated,1000.0,Closed,
1,Constituent Call,416000.0,Closed,
20,Citizens Connect App,1355000.0,Closed,
8,Employee Generated,2629000.0,Closed,
2,City Worker App,96395000.0,Closed,
5,Citizens Connect App,54045000.0,Closed,
3,City Worker App,1000.0,Closed,
3,Constituent Call,187379000.0,Closed,
3,Citizens Connect App,852923000.0,Closed,
19,Citizens Connect App,74334000.0,Closed,
21,Citizens Connect App,49810000.0,Closed,
3,Employee Generated,65424000.0,Closed,
4,Citizens Connect App,257568000.0,Closed,
22,City Worker App,180000.0,Closed,
7,Employee Generated,1000.0,Closed,
14,Employee Generated,1000.0,Closed,
18,City Worker App,4951000.0,Closed,
5,Citizens Connect App,58704000.0,Closed,
22,City Worker App,347592000.0,Closed,
18,Employee Generated,1000.0,Closed,
20,Employee Generated,13000.0,Closed,
9,Citizens Connect App,13955000.0,Closed,
11,Employee Generated,1000.0,Closed,
20,Employee Generated,1000.0,Closed,
18,Employee Generated,1000.0,Closed,
19,Employee Generated,1000.0,Closed,
2,Constituent Call,340392000.0,Closed,
21,Citizens Connect App,1724000.0,Closed,
8,Employee Generated,1000.0,Closed,
20,Constituent Call,262503000.0,Closed,
17,Employee Generated,1000.0,Closed,
3,City Worker App,2000.0,Closed,
5,Constituent Call,162336000.0,Closed,
11,Employee Generated,1000.0,Closed,
18,Employee Generated,1000.0,Closed,
2,City Worker App,74110000.0,Closed,
12,Employee Generated,1000.0,Closed,
17,City Worker App,1000.0,Closed,
2,City Worker App,168414000.0,Closed,
4,Citizens Connect App,84630000.0,Closed,
2,City Worker App,14965000.0,Closed,
6,Citizens Connect App,150102000.0,Closed,
20,Employee Generated,1000.0,Closed,
21,Constituent Call,162030000.0,Closed,
18,Employee Generated,1000.0,Closed,
14,City Worker App,97202000.0,Closed,
17,Employee Generated,1000.0,Closed,
3,Constituent Call,87176000.0,Closed,
20,Employee Generated,1000.0,Closed,
3,City Worker App,1366000.0,Closed,
12,City Worker App,1398760000.0,Closed,
16,Constituent Call,437414000.0,Closed,
4,Employee Generated,1000.0,Closed,
18,City Worker App,11085000.0,Closed,
11,Employee Generated,1000.0,Closed,
4,City Worker App,1487662000.0,Closed,
1,City Worker App,181384000.0,Closed,
21,City Worker App,7000.0,Closed,
17,Self Service,154213000.0,Closed,
20,City Worker App,2000.0,Closed,
19,Constituent Call,9846000.0,Closed,
6,City Worker App,1000.0,Closed,
7,City Worker App,287716000.0,Closed,
11,Employee Generated,1000.0,Closed,
4,Employee Generated,1000.0,Closed,
4,City Worker App,96016000.0,Closed,
12,Employee Generated,1000.0,Closed,
20,Employee Generated,2000.0,Closed,
20,Employee Generated,2000.0,Closed,
20,City Worker App,1595000.0,Closed,
20,Employee Generated,1000.0,Closed,
5,Citizens Connect App,101521000.0,Closed,
1,Employee Generated,1000.0,Closed,
17,City Worker App,173340000.0,Closed,
16,Employee Generated,1000.0,Closed,
9,Employee Generated,1000.0,Closed,
5,Citizens Connect App,1468701000.0,Closed,
3,City Worker App,433792000.0,Closed,
20,City Worker App,20622000.0,Closed,
11,Employee Generated,1000.0,Closed,
14,Employee Generated,5000.0,Closed,
20,City Worker App,5321000.0,Closed,
14,Employee Generated,1000.0,Closed,
12,City Worker App,1000.0,Closed,
12,Employee Generated,1000.0,Closed,
10,City Worker App,2706000.0,Closed,
13,Employee Generated,1000.0,Closed,
3,City Worker App,158099000.0,Closed,
18,City Worker App,1000.0,Closed,
19,Citizens Connect App,3186000.0,Closed,
2,Employee Generated,1000.0,Closed,
3,Employee Generated,3551000.0,Closed,
18,City Worker App,23856000.0,Closed,
7,Constituent Call,95150000.0,Closed,
20,City Worker App,110449000.0,Closed,
2,City Worker App,86378000.0,Closed,
19,Employee Generated,1000.0,Closed,
5,Citizens Connect App,10200000.0,Closed,
11,Employee Generated,1000.0,Closed,
5,Employee Generated,171830000.0,Closed,
4,Employee Generated,1000.0,Closed,
14,City Worker App,5542000.0,Closed,
5,Employee Generated,1000.0,Closed,
16,Constituent Call,97619000.0,Closed,
8,Citizens Connect App,52174000.0,Closed,
5,Constituent Call,160598000.0,Closed,
18,City Worker App,2000.0,Closed,
14,Employee Generated,1000.0,Closed,
2,Constituent Call,857000.0,Closed,
4,Self Service,135787000.0,Closed,
20,Employee Generated,1000.0,Closed,
18,Citizens Connect App,302764000.0,Closed,
5,Citizens Connect App,178381000.0,Closed,
1,Employee Generated,1000.0,Closed,
3,Employee Generated,1000.0,Closed,
22,City Worker App,3000.0,Closed,
19,Employee Generated,1000.0,Closed,
1,Employee Generated,1000.0,Closed,
14,Citizens Connect App,251000.0,Closed,
2,Citizens Connect App,427461000.0,Closed,
13,City Worker App,15013000.0,Closed,
21,City Worker App,9000.0,Closed,
22,Employee Generated,1000.0,Closed,
11,Employee Generated,1000.0,Closed,
4,Constituent Call,1603000.0,Closed,
5,City Worker App,7000.0,Closed,
20,Employee Generated,1000.0,Closed,
18,Employee Generated,1000.0,Closed,
18,City Worker App,1000.0,Closed,
1,Employee Generated,1000.0,Closed,
2,City Worker App,112089000.0,Closed,
6,City Worker App,2000.0,Closed,
2,Constituent Call,349640000.0,Closed,
17,Employee Generated,1000.0,Closed,
22,Citizens Connect App,804000.0,Closed,
14,City Worker App,16721000.0,Closed,
4,Employee Generated,2000.0,Closed,
5,Constituent Call,341587000.0,Closed,
4,City Worker App,6000.0,Closed,
10,City Worker App,13480000.0,Closed,
3,City Worker App,35000.0,Closed,
18,City Worker App,2760000.0,Closed,
7,Citizens Connect App,3236221000.0,Closed,
14,Self Service,4994000.0,Closed,
1,Employee Generated,56732000.0,Closed,
16,Self Service,41127000.0,Closed,
14,Citizens Connect App,2631000.0,Closed,
1,Employee Generated,1000.0,Closed,
13,Employee Generated,1000.0,Closed,
13,Employee Generated,1000.0,Closed,
4,Citizens Connect App,389933000.0,Closed,
20,Employee Generated,1000.0,Closed,
4,Citizens Connect App,339701000.0,Closed,
18,Employee Generated,1000.0,Closed,
20,Employee Generated,1000.0,Closed,
4,Constituent Call,3273239000.0,Closed,
3,Self Service,68277000.0,Closed,
14,Employee Generated,1000.0,Closed,
18,City Worker App,274000.0,Closed,
12,City Worker App,177826000.0,Closed,
19,Employee Generated,1000.0,Closed,
14,Employee Generated,1000.0,Closed,
16,Citizens Connect App,60703000.0,Closed,
20,Employee Generated,1000.0,Closed,
17,Employee Generated,1000.0,Closed,
1,City Worker App,2000.0,Closed,
18,Constituent Call,97372000.0,Closed,
5,Constituent Call,119699000.0,Closed,
17,Employee Generated,18000.0,Closed,
19,Employee Generated,1000.0,Closed,
19,City Worker App,89513000.0,Closed,
9,City Worker App,5000.0,Closed,
9,Employee Generated,1000.0,Closed,
22,Citizens Connect App,68422000.0,Closed,
5,Citizens Connect App,87156000.0,Closed,
4,Citizens Connect App,234506000.0,Closed,
20,City Worker App,1000.0,Closed,
2,City Worker App,2000.0,Closed,
6,Employee Generated,1000.0,Closed,
4,Constituent Call,167968000.0,Closed,
18,Citizens Connect App,160191000.0,Closed,
20,Citizens Connect App,226455000.0,Closed,
5,Constituent Call,93791000.0,Closed,
3,Citizens Connect App,316457000.0,Closed,
20,City Worker App,90200000.0,Closed,
2,Citizens Connect App,105922000.0,Closed,
20,Self Service,173378000.0,Closed,
20,Employee Generated,1000.0,Closed,
3,Self Service,203624000.0,Closed,
18,City Worker App,19009000.0,Closed,
14,Self Service,9264000.0,Closed,
5,Employee Generated,1000.0,Closed,
17,City Worker App,1000.0,Closed,
8,City Worker App,5897000.0,Closed,
20,Employee Generated,1000.0,Closed,
5,Constituent Call,24882000.0,Closed,
21,City Worker App,5000.0,Closed,
5,Citizens Connect App,191682000.0,Closed,
18,Employee Generated,1000.0,Closed,
21,City Worker App,5000.0,Closed,
9,City Worker App,1000.0,Closed,
1,City Worker App,35805843000.0,Closed,
20,City Worker App,36144000.0,Closed,
21,Citizens Connect App,26698000.0,Closed,
14,Employee Generated,1000.0,Closed,
14,City Worker App,26881000.0,Closed,
20,Employee Generated,1000.0,Closed,
17,Employee Generated,1000.0,Closed,
11,Employee Generated,1000.0,Closed,
6,Constituent Call,26415000.0,Closed,
10,Citizens Connect App,162688000.0,Closed,
18,Employee Generated,3000.0,Closed,
15,Employee Generated,1000.0,Closed,
18,Employee Generated,1000.0,Closed,
6,Citizens Connect App,281070000.0,Closed,
20,Employee Generated,6000.0,Closed,
6,Constituent Call,203839000.0,Closed,
3,Citizens Connect App,93216000.0,Closed,
15,Employee Generated,1000.0,Closed,
20,Employee Generated,1000.0,Closed,
